split,scope,scope_value,method,n,mae,rmse,bias,spearman,rank_mae,top_n_overlap,catastrophic_over_rate,catastrophic_under_rate
confirmation,position,TE,INDEPENDENT_PRODUCT,380,24.5961707467,44.3114005553,-3.94633103196,0.448944213203,22.5736842105,0.5,0.00263157894737,0.0263157894737
confirmation,position,TE,PAIRED_RESIDUAL_MEAN,380,24.9968275627,39.0420709193,-1.08186666046,0.450013192007,22.6157894737,0.520833333333,0.00263157894737,0.0263157894737
confirmation,position,TE,WR033_X_PREV_RATE,380,29.531454453,48.1907030327,14.0466663552,0.457935273468,21.8315789474,0.5,0.0473684210526,0.0105263157895
confirmation,position,TE,PRIOR_TOTAL_SCHEDULE_ADJUSTED,380,29.6452631579,49.7513750352,15.6432631579,0.459204853326,21.8894736842,0.5,0.0552631578947,0.00263157894737
confirmation,position,TE,POSITION_MEAN_TOTAL,380,32.2320654106,46.6397000608,-0.627451167001,-0.0239546670218,30.3789473684,0.0833333333333,0,0.0552631578947
confirmation,position,WR,INDEPENDENT_PRODUCT,683,32.298782324,50.9010736731,-1.16172123056,0.452200064922,40.383601757,0.569444444444,0.0263543191801,0.0629575402635
confirmation,position,WR,PAIRED_RESIDUAL_MEAN,683,35.4526390701,51.1993617606,4.44356509388,0.452500656129,40.5387994143,0.576388888889,0.0307467057101,0.0571010248902
confirmation,position,WR,WR033_X_PREV_RATE,683,40.7011110161,62.0188435325,25.4068674311,0.44430528667,40.1815519766,0.569444444444,0.0893118594436,0.0146412884334
confirmation,position,WR,PRIOR_TOTAL_SCHEDULE_ADJUSTED,683,42.5695168375,69.3025513655,28.2619326501,0.439831162704,39.7686676428,0.583333333333,0.106881405564,0.0146412884334
confirmation,position,WR,POSITION_MEAN_TOTAL,683,47.7681602031,63.580672546,5.03180741129,-0.035708596091,51.3382137628,0.1875,0,0.090775988287
confirmation,season,2022,INDEPENDENT_PRODUCT,475,30.6018656139,51.6919510264,-0.960591573666,0.429131014388,31.2463157895,0.479166666667,0.0231578947368,0.0484210526316
confirmation,season,2022,PAIRED_RESIDUAL_MEAN,475,32.4645900072,48.1966812787,3.94938883708,0.425937565028,31.6168421053,0.479166666667,0.0252631578947,0.0463157894737
confirmation,season,2022,WR033_X_PREV_RATE,475,39.561500725,63.3905279207,22.758977999,0.435611550039,30.3873684211,0.482638888889,0.0821052631579,0.0189473684211
confirmation,season,2022,PRIOR_TOTAL_SCHEDULE_ADJUSTED,475,40.9394947368,70.042327239,26.2525052632,0.416604070386,30.9389473684,0.527777777778,0.0905263157895,0.0168421052632
confirmation,season,2022,POSITION_MEAN_TOTAL,475,43.9091153264,56.4229466356,8.16656350734,0.0684508020584,41.84,0.194444444444,0,0.0821052631579
confirmation,season,2023,INDEPENDENT_PRODUCT,446,30.6578201125,48.7347257604,-0.476636664793,0.454674185411,29.3811659193,0.541666666667,0.0156950672646,0.0538116591928
confirmation,season,2023,PAIRED_RESIDUAL_MEAN,446,33.289492435,49.0179242418,3.95107846189,0.445040621076,29.2600896861,0.541666666667,0.0179372197309,0.0538116591928
confirmation,season,2023,WR033_X_PREV_RATE,446,40.3181448803,61.8958412156,23.917844823,0.423411293151,29.6995515695,0.534722222222,0.085201793722,0.0156950672646
confirmation,season,2023,PRIOR_TOTAL_SCHEDULE_ADJUSTED,446,41.4885201794,67.4692649774,26.7294170404,0.430754339384,29.0986547085,0.506944444444,0.103139013453,0.0156950672646
confirmation,season,2023,POSITION_MEAN_TOTAL,446,44.6817218829,59.6373512509,6.50425879636,-0.00370019502326,35.0762331839,0.166666666667,0,0.0784753363229
confirmation,season,2024,INDEPENDENT_PRODUCT,421,36.3778495846,58.8917292724,-7.72811904111,0.484126657435,25.7529691211,0.586805555556,0.0237529691211,0.0783847980998
confirmation,season,2024,PAIRED_RESIDUAL_MEAN,421,38.6456663857,58.9621043004,-3.46720657481,0.469466604917,25.7814726841,0.586805555556,0.0237529691211,0.0712589073634
confirmation,season,2024,WR033_X_PREV_RATE,421,43.4651321355,65.9655702044,19.4227484584,0.476336333824,25.4299287411,0.545138888889,0.0926365795724,0.0308788598575
confirmation,season,2024,PRIOR_TOTAL_SCHEDULE_ADJUSTED,421,43.9525415677,70.5552473004,20.7039904988,0.462034846063,25.3824228029,0.565972222222,0.0973871733967,0.0285035629454
confirmation,season,2024,POSITION_MEAN_TOTAL,421,50.8715245892,71.7787552017,-3.87899184941,0.0119393885358,37.7957244656,0.166666666667,0,0.102137767221
confirmation,season,2025,INDEPENDENT_PRODUCT,431,32.7636473532,53.3093115472,0.9612157406,0.380456150075,31.4385150812,0.524305555556,0.0232018561485,0.0556844547564
confirmation,season,2025,PAIRED_RESIDUAL_MEAN,431,35.2421692075,53.7610305576,5.82440047726,0.369449838577,31.5545243619,0.552083333333,0.0278422273782,0.0487238979118
confirmation,season,2025,WR033_X_PREV_RATE,431,42.5605461389,66.5033262577,25.9277660492,0.381924586527,30.9651972158,0.538194444444,0.111368909513,0.0208816705336
confirmation,season,2025,PRIOR_TOTAL_SCHEDULE_ADJUSTED,431,44.70774942,74.6900464363,29.8718329466,0.386763640083,30.3016241299,0.534722222222,0.129930394432,0.0092807424594
confirmation,season,2025,POSITION_MEAN_TOTAL,431,45.3198834255,64.3883450181,5.54447186454,0.00963291997006,37.1044083527,0.149305555556,0,0.07656612529
