split,scope,scope_value,model,n,mae,rmse,bias,spearman
development,season,2018,RIDGE_FULL,419,4.525110923870073,5.330747400872368,0.3649130438483396,0.31548887366132505
development,season,2019,RIDGE_FULL,444,4.726047770135774,5.587352778777508,0.26342777794605976,0.3229189110535238
development,season,2020,RIDGE_FULL,437,4.769314668335211,5.582919334015206,-0.08518067331368692,0.28494875760007177
development,season,2021,RIDGE_FULL,435,4.505893012590363,5.401500874319607,0.03916696598272147,0.26410544475808445
development,pooled,ALL,MULTINOMIAL_HURDLE,1735,4.675333776580859,5.441398159130138,0.13775331075332578,0.30176638084915214
development,position,QB,MULTINOMIAL_HURDLE,237,3.8275451823422326,4.751433547620194,0.5688348460076681,0.2763730587961158
development,position,RB,MULTINOMIAL_HURDLE,448,5.008926475723416,5.6750627905085524,0.12989971709750817,0.25209833485113475
development,position,WR,MULTINOMIAL_HURDLE,668,4.823067878326091,5.600542665897283,-0.17056148090244594,0.33382529872877725
development,position,TE,MULTINOMIAL_HURDLE,382,4.551747356823985,5.277575810298428,0.4186600304616576,0.30579878212140243
development,season,2018,MULTINOMIAL_HURDLE,419,4.545632292277297,5.238064137368315,0.467599630990914,0.3404363933471019
development,season,2019,MULTINOMIAL_HURDLE,444,4.8116883891730815,5.566725209198285,0.30076831640763146,0.3283081909988673
development,season,2020,MULTINOMIAL_HURDLE,437,4.810727781932487,5.571218813818309,-0.160495590802049,0.27217675337821856
development,season,2021,MULTINOMIAL_HURDLE,435,4.525072382543123,5.371782109801042,-0.04672830007509351,0.2817397122077554
confirmation,pooled,ALL,PREV_RATE,1773,5.494077834179357,7.278172793385568,3.7772137619853354,0.35792838822623996
confirmation,position,QB,PREV_RATE,258,4.6976744186046515,6.31412836852907,2.604651162790698,0.26364960061155096
confirmation,position,RB,PREV_RATE,452,5.672566371681416,7.500737426873617,4.150442477876106,0.40271444138605794
confirmation,position,WR,PREV_RATE,683,5.941434846266471,7.758809285109024,4.24597364568082,0.34895638413581775
confirmation,position,TE,PREV_RATE,380,5.018421052631579,6.705653545604948,3.286842105263158,0.4125311956579838
confirmation,season,2022,PREV_RATE,475,5.265263157894736,7.017121917139534,3.6821052631578945,0.36155768392753196
confirmation,season,2023,PREV_RATE,446,5.645739910313901,7.40439815971719,3.7757847533632285,0.32925350282550664
confirmation,season,2024,PREV_RATE,421,5.418052256532066,7.213572586013237,3.5558194774346794,0.41817427949428404
confirmation,season,2025,PREV_RATE,431,5.663573085846868,7.488738645227227,4.099767981438515,0.3207328027306316
confirmation,pooled,ALL,PREV_GAMES,1773,5.494077834179357,7.278172793385568,3.7772137619853354,0.35792838822623996
confirmation,position,QB,PREV_GAMES,258,4.6976744186046515,6.31412836852907,2.604651162790698,0.26364960061155096
confirmation,position,RB,PREV_GAMES,452,5.672566371681416,7.500737426873617,4.150442477876106,0.40271444138605794
confirmation,position,WR,PREV_GAMES,683,5.941434846266471,7.758809285109024,4.24597364568082,0.34895638413581775
confirmation,position,TE,PREV_GAMES,380,5.018421052631579,6.705653545604948,3.286842105263158,0.4125311956579838
confirmation,season,2022,PREV_GAMES,475,5.265263157894736,7.017121917139534,3.6821052631578945,0.36155768392753196
confirmation,season,2023,PREV_GAMES,446,5.645739910313901,7.40439815971719,3.7757847533632285,0.32925350282550664
confirmation,season,2024,PREV_GAMES,421,5.418052256532066,7.213572586013237,3.5558194774346794,0.41817427949428404
confirmation,season,2025,PREV_GAMES,431,5.663573085846868,7.488738645227227,4.099767981438515,0.3207328027306316
confirmation,pooled,ALL,POSITION_MEAN,1773,5.208364629743757,5.947304976726111,0.08418985289616648,-0.026879899933275997
confirmation,position,QB,POSITION_MEAN,258,4.034513937093383,4.914501096694225,0.224657328617902,0.0017228903589776383
