position,model,feature,seasons,median_standardized_coefficient,median_abs_coefficient,positive_fraction,negative_fraction,direction_consistency,stable
RB,performance,prev1_targets_pg,8,0.18764651624548684,0.18764651624548684,1.0,0.0,1.0,True
RB,performance,prev1_pass_yards_pg,8,-0.1781464677806039,0.1781464677806039,0.0,1.0,1.0,True
RB,performance,prev1_rush_epa_pg,8,-0.15124092973959619,0.15124092973959619,0.0,1.0,1.0,True
RB,performance,prev1_rush_tds_pg,8,0.12554386512084242,0.12554386512084242,1.0,0.0,1.0,True
RB,performance,ppr_delta,8,0.1166843737564921,0.1166843737564921,1.0,0.0,1.0,True
RB,performance,prev1_receptions_pg,8,0.09669064266465832,0.09669064266465832,1.0,0.0,1.0,True
RB,performance,prev1_attempts_pg,8,-0.08983702416675607,0.08983702416675607,0.0,1.0,1.0,True
RB,performance,games_delta,8,0.07580657226017716,0.07580657226017716,1.0,0.0,1.0,True
RB,performance,prev1_pass_tds_pg,8,-0.06786998490183235,0.06786998490183235,0.0,1.0,1.0,True
RB,performance,prev1_rec_ypt,8,-0.2652453121427486,0.2652453121427486,0.125,0.875,0.875,True
RB,performance,prev1_rec_yards_pg,8,0.20428517872447455,0.20428517872447455,0.875,0.125,0.875,True
RB,performance,prev1_rec_tds_pg,8,0.13260484966756364,0.13260484966756364,0.875,0.125,0.875,True
RB,performance,prev1_pass_ypa,8,0.17690326602882295,0.19951402848803274,0.75,0.25,0.75,True
RB,performance,drafted,8,-0.06685490815072714,0.06881368989707912,0.25,0.75,0.75,True
RB,performance,prev1_pass_epa_pg,8,-0.031540232892816676,0.036105316847426024,0.125,0.875,0.875,False
RB,performance,experience_years,8,-0.01671996625830687,0.03114190841064663,0.25,0.75,0.75,False
